item_name,units_sold,total_revenue,total_orders
Google Laptop and Cell Phone Stickers,379,1011.0,127
Google Clear Pen 4-Pack,367,1125.0,126
Google Metallic Notebook Set,334,1702.0,120
Google Pen White,298,450.0,98
Google Sunglasses,262,804.0,62
Google Camp Mug Ivory,259,2756.0,189
Super G Unisex Joggers,253,7856.0,221
Google Canteen Bottle Black,250,4930.0,130
Google Heathered Pom Beanie,230,2832.0,170
Google Decal,227,153.0,48
Google Crewneck Sweatshirt Navy,217,9878.0,196
Keyboard DOT Sticker,210,355.0,59
Maze Pen,208,180.0,44
Google Zip Hoodie F/C,208,10488.0,187
Google Badge Heavyweight Pullover Black,176,8490.0,150
Google Red Speckled Tee,166,4158.0,138
Google 24oz Ring Bottle Blue,160,919.0,41
Google Crew Socks,158,2113.0,127
Android SM S/F18 Sticker Sheet,157,288.0,97
Google Land & Sea Cotton Cap,156,2253.0,114
Google Crewneck Sweatshirt Green,155,7095.0,146
Google Light Pen Blue,153,279.0,83
Google Perk Thermal Tumbler,152,2496.0,95
Google Navy Speckled Tee,151,3762.0,123
Google F/C Longsleeve Charcoal,144,3624.0,118
YouTube Jotter Task Pad,142,381.0,54
Google F/C Longsleeve Ash,140,3480.0,123
Google Small Standard Journal Navy,133,791.0,53
Google Light Pen Red,129,232.0,65
Google Camp Mug Gray,128,1340.0,102
Google Mini Kick Ball,127,213.0,30
Google Leather Strap Hat Blue,124,1794.0,108
Google NYC Campus Mug,123,853.0,82
Google Utility Bag Grey,123,794.0,53
Google Speckled Beanie Navy,122,2100.0,85
Noogler Android Figure,122,1656.0,92
Google Pen Citron,121,126.0,48
Android Large Removable Sticker Sheet,119,207.0,47
Google Thermal Tumbler Navy,119,1779.0,76
Google Pride Sticker,119,84.0,43
Google Campus Bike,116,3840.0,97
Google Crew Combed Cotton Sock,115,1632.0,80
Google Light Pen Green,114,205.0,56
Google Large Tote White,112,1185.0,67
Google Austin Campus Mug,112,805.0,72
Android Buoy Bottle,109,487.0,48
Google Men's Tech Fleece Grey,107,7886.0,87
Google Small Cable Organizer Blue,107,261.0,19
Google Seattle Campus Mug,105,730.0,58
Android Iconic Crewneck Sweatshirt,103,4719.0,94
Google Unisex Eco Tee Black,102,1931.0,87
Google Magnet,101,646.0,90
Google Emoji Sticker Pack,100,430.0,47
Google Cloud Pen,100,251.0,44
YouTube Twill Sandwich Cap Black,97,1113.0,80
Google Mesh Bag Red,95,461.0,12
Google Black Cork Journal,95,961.0,73
Google Hemp Tote,95,1236.0,48
Google Glass Bottle,94,1773.0,83
Google NYC Campus Zip Hoodie,91,2981.0,63
Google Sherpa Zip Hoodie Charcoal,89,4953.0,78
Google Dino Game Tee,89,2992.0,79
Google Large Standard Journal Grey,88,1159.0,68
Google Speckled Beanie Grey,86,1412.0,57
Google Keychain,86,569.0,62
Google Crewneck Sweatshirt Grey,85,3872.0,74
YouTube Leather Strap Hat Black,85,885.0,62
#IamRemarkable Journal,84,603.0,35
Google Flat Front Bag Grey,84,2076.0,81
Google Packable Bag Black,82,1348.0,46
Google Black Cloud Zip Hoodie,82,4626.0,53
Google Clear Framed Yellow Shades,82,265.0,38
Womens Google Striped LS,82,1345.0,77
YouTube Icon Tee Charcoal,81,1588.0,77
Google Cotopaxi Shell,81,3128.0,74
Google Men's Tech Fleece Vest Charcoal,79,5234.0,62
Google PNW Campus Mug,79,562.0,55
Google Recycled Pen Black,77,142.0,42
Google Toddler FC Zip Hoodie,77,2184.0,71
Google Mural Sticker Sheet,76,176.0,61
Google Seattle Campus Sticker,75,82.0,27
Google Crew Striped Athletic Sock,75,1067.0,55
Google Recycled Writing Set,75,259.0,42
Google NYC Campus Sticker,73,76.0,39
Google LA Campus Sticker,72,76.0,36
YouTube Play Mug,72,782.0,51
Google Campus Bike Grid Task Pad,71,738.0,20
Google Clear Framed Blue Shades,70,223.0,48
Google Pen Bright Blue,70,106.0,46
Google Clear Framed Gray Shades,70,222.0,36
#IamRemarkable Unisex T-Shirt,70,706.0,44
Google Campus Bike Tote Navy,70,635.0,52
Google Woodtop Bottle Black,68,1668.0,57
Google Utensil Set,68,891.0,32
Google Chicago Campus Mug,68,482.0,54
Google Land & Sea Journal Set,65,816.0,53
Google Pen Red,63,89.0,27
Google Sunnyvale Campus Mug,63,443.0,50
Google Sherpa Zip Hoodie Navy,63,3563.0,58
Google Land & Sea Mug,63,906.0,53
Google Blue Kids Sunglasses,60,255.0,39
Google Chrome Dinosaur Collectible,59,1488.0,51
Google Confetti Slim Task Pad,58,197.0,26
Google LA Campus Mug,58,422.0,52
YouTube Crew Socks,57,766.0,38
YouTube Icon Tee Grey,57,1120.0,53
Google Pen Lilac,56,85.0,31
Google Women's Grid Zip-Up,56,2932.0,51
Android Pocket Tee Navy,56,1391.0,53
Google Men's Puff Jacket Black,55,5221.0,52
Google Mural Sticky Note Pad,55,631.0,44
Google Bot,55,450.0,32
Android Iconic Pen,55,84.0,19
Google Campus Bike Corkbase Mug Blue,54,778.0,43
Google Land & Sea Nalgene Water Bottle,53,1095.0,46
Google Toddler FC Tee Charcoal,53,1080.0,39
YouTube Iconic Play Pin,53,368.0,26
Google SF Campus Tote,52,321.0,31
Google Heather Green Speckled Tee,52,1255.0,51
Google Mural Socks,51,618.0,43
Google KeepCup,51,1442.0,41
Google Pen Grey,51,76.0,30
Google Super G Tumbler (Red Lid),51,1151.0,43
Google Bear Baby Blanket Beige,50,951.0,35
Google Mesh Bag Blue,50,256.0,31
Google Bot (Multicolored),50,414.0,40
Google Blue Stojo Cup,50,1045.0,34
Google Pen Neon Coral,50,82.0,30
Android Pocket Onesie Navy,49,923.0,45
Google Cork Base Tumbler,49,1098.0,36
Google Beekeepers Tee Mint,49,710.0,45
Google See-No Hear-No Set,48,485.0,42
Google Utility BackPack,48,4752.0,47
Google Incognito Techpack V2,47,3563.0,36
Google Women's Puff Jacket Black,47,4393.0,43
Google Mural Mug,47,675.0,42
Google Kirkland Campus Mug,45,307.0,18
Stainless Straight Straw/Cleaner,44,130.0,19
Unisex Google Pocket Tee Grey,44,752.0,43
YouTube Small Sticker Sheet,44,112.0,6
Google Premium Sunglasses,44,522.0,30
Google Boulder Campus Sticker,44,46.0,21
Google Cambridge Campus Mug,44,316.0,41
Google Mouse Pad Navy,43,177.0,25
Stan and Friends Tee Green,43,630.0,38
Google LA Campus Unisex Tee,43,622.0,34
Google Infant Charcoal Onesie,43,895.0,40
Google Campus Bike Eco Tee Navy,43,890.0,35
Google LoveHandle Black,43,360.0,25
Google Cambridge Campus Sticker,42,44.0,18
Google Lapel Pin,42,284.0,38
Google PNW Campus Bottle,42,469.0,9
Android Iconic Sticker Sheet,42,107.0,12
Daddy Works at Google Book,41,672.0,40
Google Austin Campus Tote,41,278.0,17
Google 24 oz Ring Bottle Red,41,243.0,29
Android Lumberjack Pin,40,174.0,30
Google Phone Stand Bamboo,40,169.0,28
Google Split Seam Tee Olive,40,860.0,37
Android Iconic 4&quot; Decal,40,50.0,14
Google ApPeel Journal Red,40,618.0,17
Google Land & Sea Tote Bag,40,664.0,33
Google Emoji Magnet Set,39,336.0,34
Google Youth Hero Tee Grey,39,772.0,28
Google Youth FC Tee Charcoal,39,810.0,28
Google 16 oz Tumbler Blue,38,405.0,14
Google Youth Badge Tee Olive,38,519.0,30
Google NYC Campus Bottle,38,431.0,33
Google Land & Sea Tech Taco,38,125.0,23
Google Infant Hero Tee Olive,38,548.0,35
Google Twill Cap Charcoal,37,415.0,31
Google SF Campus Bottle,37,427.0,28
Google Soft Modal Scarf,36,1386.0,33
#IamRemarkable Unisex Hoodie,36,969.0,27
Google Pen Grass Green,36,55.0,27
#IamRemarkable Lapel Pin,36,86.0,13
#IamRemarkable Water Bottle,35,435.0,21
Google Striped Penny Pouch,35,81.0,15
Google Campus Bike Bottle,35,788.0,31
Android Iconic Notebook,35,484.0,7
Android Iconic Glass Bottle Green,34,460.0,13
Google Boulder Campus Mug,34,247.0,30
Android Techie 3D Framed Art,34,572.0,33
Google Red Kids Sunglasses,33,137.0,24
Google SF Campus Zip Hoodie,33,1112.0,29
Google Confetti Task Pad,33,211.0,22
Google Women's Microfleece Jacket Black,32,2010.0,32
Google Campus Bike Carry Pouch,32,207.0,21
Android Iconic Hat Black,32,298.0,26
Google Youth Badge Tee Navy,31,431.0,24
Google PNW Campus Zip Hoodie,31,1020.0,27
Google Confetti Pen White,31,48.0,21
Google Felt Refillable Journal,30,494.0,24
Android Iconic Mug Gray,30,443.0,26
Google Seaport Tote,30,1464.0,26
Android Pocket Toddler Tee Navy,30,556.0,27
Google Tee Yellow,30,280.0,28
Android Iconic Beanie,30,268.0,26
Google Frisbee,29,36.0,17
