item_name,units_sold,total_revenue,row_number,product_rank,dense_rank
Google Zip Hoodie F/C,208,10488.0,1,1,1
Google Crewneck Sweatshirt Navy,217,9878.0,2,2,2
Google Badge Heavyweight Pullover Black,176,8490.0,3,3,3
Google Men's Tech Fleece Grey,107,7886.0,4,4,4
Super G Unisex Joggers,253,7856.0,5,5,5
Google Crewneck Sweatshirt Green,155,7095.0,6,6,6
Google Men's Tech Fleece Vest Charcoal,79,5234.0,7,7,7
Google Men's Puff Jacket Black,55,5221.0,8,8,8
Google Sherpa Zip Hoodie Charcoal,89,4953.0,9,9,9
Google Canteen Bottle Black,250,4930.0,10,10,10
Google Utility BackPack,48,4752.0,11,11,11
Android Iconic Crewneck Sweatshirt,103,4719.0,12,12,12
Google Black Cloud Zip Hoodie,82,4626.0,13,13,13
Google Women's Puff Jacket Black,47,4393.0,14,14,14
Google Red Speckled Tee,166,4158.0,15,15,15
Google Crewneck Sweatshirt Grey,85,3872.0,16,16,16
Google Campus Bike,116,3840.0,17,17,17
Google Navy Speckled Tee,151,3762.0,18,18,18
Google F/C Longsleeve Charcoal,144,3624.0,19,19,19
Google Sherpa Zip Hoodie Navy,63,3563.0,21,20,20
Google Incognito Techpack V2,47,3563.0,20,20,20
Google F/C Longsleeve Ash,140,3480.0,22,22,21
Google Cotopaxi Shell,81,3128.0,23,23,22
Google Dino Game Tee,89,2992.0,24,24,23
Google NYC Campus Zip Hoodie,91,2981.0,25,25,24
Google Women's Grid Zip-Up,56,2932.0,26,26,25
Google Heathered Pom Beanie,230,2832.0,27,27,26
Google Camp Mug Ivory,259,2756.0,28,28,27
Google Perk Thermal Tumbler,152,2496.0,29,29,28
Google Men's Softshell Moss,29,2431.0,30,30,29
Google Land & Sea Cotton Cap,156,2253.0,31,31,30
Google Toddler FC Zip Hoodie,77,2184.0,32,32,31
Google Crew Socks,158,2113.0,33,33,32
Google Speckled Beanie Navy,122,2100.0,34,34,33
Google Flat Front Bag Grey,84,2076.0,35,35,34
Google Women's Microfleece Jacket Black,32,2010.0,36,36,35
Google Raincoat Navy,20,1992.0,37,37,36
Google Unisex Eco Tee Black,102,1931.0,38,38,37
Google Leather Strap Hat Blue,124,1794.0,39,39,38
Google Thermal Tumbler Navy,119,1779.0,40,40,39
Google Glass Bottle,94,1773.0,41,41,40
Google Metallic Notebook Set,334,1702.0,42,42,41
Google Woodtop Bottle Black,68,1668.0,43,43,42
Noogler Android Figure,122,1656.0,44,44,43
Google Crew Combed Cotton Sock,115,1632.0,45,45,44
YouTube Icon Tee Charcoal,81,1588.0,46,46,45
Google Chrome Dinosaur Collectible,59,1488.0,47,47,46
Google Sherpa Vest Black,22,1466.0,48,48,47
Google Seaport Tote,30,1464.0,49,49,48
Google KeepCup,51,1442.0,50,50,49
Google Incognito Zip Pack,23,1418.0,51,51,50
Google Speckled Beanie Grey,86,1412.0,52,52,51
Android Pocket Tee Navy,56,1391.0,53,53,52
Google Soft Modal Scarf,36,1386.0,54,54,53
Google Packable Bag Black,82,1348.0,55,55,54
Womens Google Striped LS,82,1345.0,56,56,55
Google Camp Mug Gray,128,1340.0,57,57,56
Google Heather Green Speckled Tee,52,1255.0,58,58,57
Google Hemp Tote,95,1236.0,59,59,58
Google Large Tote White,112,1185.0,60,60,59
Google Large Standard Journal Grey,88,1159.0,61,61,60
Google Super G Tumbler (Red Lid),51,1151.0,62,62,61
Google Land & Sea French Terry Sweatshirt,25,1144.0,63,63,62
Google Clear Pen 4-Pack,367,1125.0,64,64,63
YouTube Icon Tee Grey,57,1120.0,65,65,64
YouTube Twill Sandwich Cap Black,97,1113.0,66,66,65
Google SF Campus Zip Hoodie,33,1112.0,67,67,66
Google Cork Base Tumbler,49,1098.0,68,68,67
Google Land & Sea Nalgene Water Bottle,53,1095.0,69,69,68
Google Toddler FC Tee Charcoal,53,1080.0,70,70,69
Google Knit Blanket,15,1069.0,71,71,70
Google Crew Striped Athletic Sock,75,1067.0,72,72,71
Google Blue Stojo Cup,50,1045.0,73,73,72
Google PNW Campus Zip Hoodie,31,1020.0,74,74,73
Google Laptop and Cell Phone Stickers,379,1011.0,75,75,74
#IamRemarkable Unisex Hoodie,36,969.0,76,76,75
Google Black Cork Journal,95,961.0,77,77,76
Google Bear Baby Blanket Beige,50,951.0,78,78,77
Google Incognito Dopp Kit V2,24,927.0,79,79,78
Android Pocket Onesie Navy,49,923.0,80,80,79
Google 24oz Ring Bottle Blue,160,919.0,81,81,80
Google Land & Sea Mug,63,906.0,82,82,81
Google Women's Tech Fleece Vest Charcoal,20,902.0,83,83,82
Google Sunnyvale Campus Zip Hoodie,28,896.0,84,84,83
Google Infant Charcoal Onesie,43,895.0,85,85,84
Google Utensil Set,68,891.0,86,86,85
Google Campus Bike Eco Tee Navy,43,890.0,87,87,86
YouTube Standards Zip Hoodie Black,17,888.0,89,88,87
Google Women's Tech Fleece Grey,12,888.0,88,88,87
YouTube Leather Strap Hat Black,85,885.0,90,90,88
Google Campus Bike Mini Backpack,26,872.0,91,91,89
Google Women's Softshell Moss,11,869.0,92,92,90
Google Split Seam Tee Olive,40,860.0,93,93,91
Google NYC Campus Mug,123,853.0,94,94,92
Google Incognito Laptop Organizer,17,831.0,95,95,93
Google Land & Sea Journal Set,65,816.0,96,96,94
Google Youth FC Tee Charcoal,39,810.0,97,97,95
Google Austin Campus Mug,112,805.0,98,98,96
Google Sunglasses,262,804.0,99,99,97
Google Utility Bag Grey,123,794.0,100,100,98
Google Small Standard Journal Navy,133,791.0,101,101,99
Google Campus Bike Bottle,35,788.0,102,102,100
YouTube Play Mug,72,782.0,103,103,101
Google Campus Bike Corkbase Mug Blue,54,778.0,104,104,102
Google Youth Hero Tee Grey,39,772.0,105,105,103
YouTube Crew Socks,57,766.0,106,106,104
Unisex Google Pocket Tee Grey,44,752.0,107,107,105
Google Campus Bike Grid Task Pad,71,738.0,108,108,106
Google Cup Cap Tumbler Grey,29,732.0,109,109,107
Google Seattle Campus Mug,105,730.0,110,110,108
Google Beekeepers Tee Mint,49,710.0,111,111,109
#IamRemarkable Unisex T-Shirt,70,706.0,112,112,110
Google Incognito Messenger Bag,11,690.0,113,113,111
Google Youth FC Longsleeve Charcoal,27,684.0,114,114,112
Google LA Campus Zip Hoodie,20,677.0,115,115,113
Google Mural Mug,47,675.0,116,116,114
Daddy Works at Google Book,41,672.0,117,117,115
Google Chicago Campus Zip Hoodie,20,668.0,118,118,116
Google Land & Sea Tote Bag,40,664.0,119,119,117
Google Summer19 Crew Grey,18,646.0,120,120,118
Google Magnet,101,646.0,121,120,118
Google Austin Campus Zip Hoodie,20,640.0,122,122,119
Google Campus Bike Tote Navy,70,635.0,123,123,120
Google Cambridge Campus Zip Hoodie,19,635.0,124,123,120
Google Mural Sticky Note Pad,55,631.0,125,125,121
Stan and Friends Tee Green,43,630.0,126,126,122
Google LA Campus Unisex Tee,43,622.0,127,127,123
Google Mural Socks,51,618.0,128,128,124
Google ApPeel Journal Red,40,618.0,129,128,124
#IamRemarkable Journal,84,603.0,130,130,125
White Google Shoreline Bottle,28,596.0,131,131,126
Google Tudes Recycled Tee,23,576.0,132,132,127
Android Techie 3D Framed Art,34,572.0,133,133,128
Google Keychain,86,569.0,134,134,129
Google PNW Campus Mug,79,562.0,135,135,130
Android Pocket Toddler Tee Navy,30,556.0,136,136,131
Google Infant Hero Tee Olive,38,548.0,137,137,132
Android Pocket Tee Green,22,536.0,138,138,133
Google Mural Bottle,27,529.0,139,139,134
Google Premium Sunglasses,44,522.0,140,140,135
Google Youth Badge Tee Olive,38,519.0,141,141,136
Google Toddler Tee White,26,514.0,142,142,137
Google Youth Hero Tee Maroon,25,500.0,143,143,138
Google Felt Refillable Journal,30,494.0,144,144,139
Android Buoy Bottle,109,487.0,145,145,140
Google See-No Hear-No Set,48,485.0,146,146,141
Android Iconic Notebook,35,484.0,147,147,142
Google Chicago Campus Mug,68,482.0,148,148,143
Google PNW Campus Bottle,42,469.0,149,149,144
Google Mesh Bag Red,95,461.0,150,150,145
Android Iconic Glass Bottle Green,34,460.0,151,151,146
Google Super G Tumbler (Blue Lid),20,458.0,152,152,147
Google Bot,55,450.0,153,153,148
Google Pen White,298,450.0,154,153,148
Google Boulder Campus Zip Hoodie,14,448.0,155,155,149
Google Sunnyvale Campus Mug,63,443.0,156,156,150
Android Iconic Mug Gray,30,443.0,157,156,150
Mural Food Container,13,437.0,158,158,151
#IamRemarkable Water Bottle,35,435.0,159,159,152
Google NYC Campus Bottle,38,431.0,160,160,153
Google Youth Badge Tee Navy,31,431.0,161,160,153
Google Emoji Sticker Pack,100,430.0,162,162,154
Google SF Campus Bottle,37,427.0,163,163,155
Google Cork Passport Holder,26,426.0,164,164,156
Flamingo and Friends Tee Blue,26,424.0,165,165,157
Google LA Campus Mug,58,422.0,166,166,158
