item_name,units_sold,total_revenue,revenue_pct,cumulative_revenue_pct
Google Zip Hoodie F/C,208,10488.0,3.42,3.42
Google Crewneck Sweatshirt Navy,217,9878.0,3.22,6.64
Google Badge Heavyweight Pullover Black,176,8490.0,2.77,9.41
Google Men's Tech Fleece Grey,107,7886.0,2.57,11.98
Super G Unisex Joggers,253,7856.0,2.56,14.54
Google Crewneck Sweatshirt Green,155,7095.0,2.31,16.85
Google Men's Tech Fleece Vest Charcoal,79,5234.0,1.71,18.56
Google Men's Puff Jacket Black,55,5221.0,1.7,20.26
Google Sherpa Zip Hoodie Charcoal,89,4953.0,1.61,21.88
Google Canteen Bottle Black,250,4930.0,1.61,23.48
Google Utility BackPack,48,4752.0,1.55,25.03
Android Iconic Crewneck Sweatshirt,103,4719.0,1.54,26.57
Google Black Cloud Zip Hoodie,82,4626.0,1.51,28.08
Google Women's Puff Jacket Black,47,4393.0,1.43,29.51
Google Red Speckled Tee,166,4158.0,1.36,30.87
Google Crewneck Sweatshirt Grey,85,3872.0,1.26,32.13
Google Campus Bike,116,3840.0,1.25,33.38
Google Navy Speckled Tee,151,3762.0,1.23,34.61
Google F/C Longsleeve Charcoal,144,3624.0,1.18,35.79
Google Incognito Techpack V2,47,3563.0,1.16,36.95
Google Sherpa Zip Hoodie Navy,63,3563.0,1.16,38.11
Google F/C Longsleeve Ash,140,3480.0,1.13,39.25
Google Cotopaxi Shell,81,3128.0,1.02,40.27
Google Dino Game Tee,89,2992.0,0.98,41.24
Google NYC Campus Zip Hoodie,91,2981.0,0.97,42.22
Google Women's Grid Zip-Up,56,2932.0,0.96,43.17
Google Heathered Pom Beanie,230,2832.0,0.92,44.1
Google Camp Mug Ivory,259,2756.0,0.9,44.99
Google Perk Thermal Tumbler,152,2496.0,0.81,45.81
Google Men's Softshell Moss,29,2431.0,0.79,46.6
Google Land & Sea Cotton Cap,156,2253.0,0.73,47.34
Google Toddler FC Zip Hoodie,77,2184.0,0.71,48.05
Google Crew Socks,158,2113.0,0.69,48.74
Google Speckled Beanie Navy,122,2100.0,0.68,49.42
Google Flat Front Bag Grey,84,2076.0,0.68,50.1
Google Women's Microfleece Jacket Black,32,2010.0,0.66,50.75
Google Raincoat Navy,20,1992.0,0.65,51.4
Google Unisex Eco Tee Black,102,1931.0,0.63,52.03
Google Leather Strap Hat Blue,124,1794.0,0.58,52.62
Google Thermal Tumbler Navy,119,1779.0,0.58,53.2
Google Glass Bottle,94,1773.0,0.58,53.78
Google Metallic Notebook Set,334,1702.0,0.55,54.33
