item_name,item_category,units_sold,total_orders,total_revenue,revenue_per_unit
Google Raincoat Navy,Apparel,20,20,1992.0,99.6
Google Utility BackPack,Bags,48,47,4752.0,99.0
Google Women's Puff Jacket Black,Apparel,47,43,4393.0,93.47
Google Men's Softshell Moss,Apparel,29,28,2431.0,83.83
Google Women's Softshell Moss,Apparel,11,11,869.0,79.0
Google Incognito Techpack V2,Bags,47,36,3563.0,75.81
Google Women's Tech Fleece Grey,Apparel,12,11,888.0,74.0
Google Knit Blanket,Lifestyle,15,14,1069.0,71.27
Google Sherpa Vest Black,Apparel,22,22,1466.0,66.64
Google Women's Microfleece Jacket Black,Uncategorized Items,32,32,2010.0,62.81
Google Incognito Zip Pack,Bags,23,23,1418.0,61.65
YouTube Standards Zip Hoodie Black,Apparel,17,16,888.0,52.24
Google Incognito Laptop Organizer,Bags,17,17,831.0,48.88
Google Seaport Tote,New,30,26,1464.0,48.8
Google Land & Sea French Terry Sweatshirt,Shop by Brand,25,25,1144.0,45.76
Google Women's Tech Fleece Vest Charcoal,Apparel,20,17,902.0,45.1
Google Incognito Dopp Kit V2,Bags,24,16,927.0,38.63
Google Soft Modal Scarf,Apparel,36,33,1386.0,38.5
Google SF Campus Zip Hoodie,Clearance,33,29,1112.0,33.7
Google Campus Bike Mini Backpack,Lifestyle,26,17,872.0,33.54
Google PNW Campus Zip Hoodie,Clearance,31,27,1020.0,32.9
Google Sunnyvale Campus Zip Hoodie,Campus Collection,28,27,896.0,32.0
#IamRemarkable Unisex Hoodie,Apparel,36,27,969.0,26.92
Google Campus Bike Bottle,Lifestyle,35,31,788.0,22.51
Google Cork Base Tumbler,New,49,36,1098.0,22.41
Google Split Seam Tee Olive,Apparel,40,37,860.0,21.5
Google Infant Charcoal Onesie,Apparel,43,40,895.0,20.81
Google Youth FC Tee Charcoal,Apparel,39,28,810.0,20.77
Google Campus Bike Eco Tee Navy,Apparel,43,35,890.0,20.7
Android Pocket Onesie Navy,Apparel,49,45,923.0,18.84
