item_name,view_users,purchase_users
Super G Unisex Joggers,14713,185
Google Zip Hoodie F/C,13869,179
Google Navy Speckled Tee,13696,120
YouTube Icon Tee Grey,12696,51
Google Campus Bike Eco Tee Navy,11339,35
Google Land & Sea Cotton Cap,10796,99
YouTube Icon Tee Charcoal,10700,76
YouTube Leather Strap Hat Black,10543,58
Google Land & Sea French Terry Sweatshirt,10201,25
Android SM S/F18 Sticker Sheet,10007,86
Android Large Removable Sticker Sheet,9918,46
Google F/C Long Sleeve Tee Charcoal,9640,0
Google Women's Striped L/S,9541,0
YouTube Twill Sandwich Cap Black,9519,78
Google Sherpa Zip Hoodie Charcoal,9415,78
Google Speckled Beanie Navy,9314,82
Google Badge Heavyweight Pullover Black,9080,145
Google Heather Green Speckled Tee,9052,51
Google Crewneck Sweatshirt Navy,8754,186
Google Heathered Pom Beanie,8661,158
Google Small Standard Journal Navy,8208,45
Google F/C Long Sleeve Tee Ash,8184,0
Google Land & Sea Journal Set,8106,40
Android Super Hero 3D Framed Art,8050,24
Android Large Trace Journal Black,7988,22
Google Leather Strap Hat Blue,7825,105
Google Utility Bag Grey,7812,53
Google Crewneck Sweatshirt Green,7731,138
Google Eco Tee Black,7683,0
Android Techie 3D Framed Art,7661,33
Google Tee Yellow,7631,28
Android Small Trace Journal Black,7510,13
Google Blue Stojo Cup,7304,34
Android Iconic Hat Black,7079,26
Google Tee Green,6928,16
YouTube Women's Favorite Tee White,6885,5
Google Laptop Sleeve Charcoal,6861,11
Android Iconic Hat Green,6818,22
Google Land & Sea Nalgene Water Bottle,6782,42
YouTube Jotter Task Pad,6731,52
Google Land & Sea Mug,6692,36
Google Land & Sea Tech Taco,6670,23
Google Leather Strap Hat Black,6544,22
Android Iconic Crewneck Sweatshirt,6402,83
Google Speckled Beanie Grey,6391,56
Google Red Speckled Tee,6346,130
Android Garden Tee Orange,6285,19
Google Land & Sea Women's Eco Tee,6232,6
Android Iconic Beanie,6161,26
Android Iconic Hat White,5931,21
YouTube Small Sticker Sheet,5806,6
Google Sherpa Zip Hoodie Navy,5767,54
Google Land & Sea Unisex Tee,5696,0
Noogler Android Figure,5633,91
Google Large Tote White,5578,66
YouTube Standards Zip Hoodie Black,5391,15
YouTube Transmission Journal Red,5228,15
Google Glass Bottle,5211,73
Google Beekeepers Tee Mint,5207,43
Google Land & Sea Tote Bag,5116,32
Google Campus Bike Tote Navy,5038,49
Google Campus Bike Bottle,5020,29
Google Flat Front Bag Grey,4971,57
Stan and Friends Tee Green,4962,38
YouTube Crew Socks,4958,35
Google Utility BackPack,4943,35
Google Cork Base Tumbler,4904,31
YouTube Play Mug,4861,43
Keyboard DOT Sticker,4787,57
Google Dino Game Tee,4742,78
Google Women's Microfleece Jacket Black,4699,32
Android Iconic Glass Bottle Green,4680,13
YouTube Iconic Play Pin,4674,26
Google Crew Socks,4587,118
Google Men's Tech Fleece Grey,4571,83
Google Confetti Accessory Pouch,4549,14
Google Tech Taco,4542,12
Stainless Bent Straw/Cleaner,4499,13
#IamRemarkable Water Bottle,4489,21
Google Mesh Bag Red,4478,12
Google Mural Bottle,4381,21
Google Cup Cap Tumbler Grey,4349,21
Google Campus Bike Carry Pouch,4299,21
Google Incognito Messenger Bag,4296,11
Android Iconic Mug Gray,4295,26
