order_date,revenue,orders,buyers,units_sold
2020-11-11,1463.0,28,28,95
2020-11-12,3290.0,53,50,209
2020-11-13,5754.0,78,66,697
2020-11-14,2339.0,30,29,106
2020-11-15,1482.0,21,21,62
2020-11-16,5049.0,69,68,335
2020-11-17,6238.0,98,85,406
2020-11-18,4147.0,58,48,267
2020-11-19,2909.0,41,39,228
2020-11-20,4403.0,53,52,281
2020-11-21,2167.0,33,33,135
2020-11-22,1716.0,29,27,76
2020-11-23,4240.0,69,59,269
2020-11-24,7379.0,106,94,402
2020-11-25,7686.0,95,81,476
2020-11-26,4128.0,54,51,276
2020-11-27,6526.0,90,85,419
2020-11-28,6252.0,70,65,413
2020-11-29,3865.0,49,46,204
2020-11-30,11956.0,134,121,661
2020-12-01,6205.0,96,88,355
2020-12-02,5145.0,77,70,270
2020-12-03,4273.0,86,83,311
2020-12-04,6394.0,92,82,468
2020-12-05,6327.0,84,74,328
2020-12-06,2328.0,41,39,140
2020-12-07,8409.0,104,85,462
2020-12-08,8658.0,120,109,619
2020-12-09,10481.0,141,121,686
2020-12-10,10102.0,136,122,569
2020-12-11,10397.0,155,141,617
2020-12-12,6280.0,101,94,412
2020-12-13,4391.0,68,56,264
2020-12-14,8401.0,92,79,523
2020-12-15,9608.0,132,109,475
2020-12-16,11463.0,142,115,813
2020-12-17,6592.0,123,87,398
2020-12-18,6584.0,105,78,396
2020-12-19,2763.0,50,39,139
2020-12-20,1351.0,19,18,76
2020-12-21,3379.0,50,47,249
2020-12-22,3017.0,56,53,206
2020-12-23,4421.0,67,53,284
2020-12-24,1191.0,22,21,69
2020-12-25,551.0,16,16,40
2020-12-26,728.0,15,15,70
2020-12-27,1156.0,20,20,96
2020-12-28,1919.0,34,31,180
2020-12-29,1419.0,24,22,111
2020-12-30,1484.0,21,19,312
2020-12-31,2577.0,24,22,93
2021-01-01,961.0,13,12,96
2021-01-02,1025.0,13,13,101
2021-01-03,551.0,13,13,64
2021-01-04,835.0,16,16,63
2021-01-05,1119.0,27,26,59
2021-01-06,1998.0,31,28,116
2021-01-07,1450.0,23,22,91
2021-01-08,1698.0,31,31,88
2021-01-09,1362.0,19,17,68
2021-01-10,974.0,14,14,52
2021-01-11,1427.0,26,25,80
2021-01-12,2545.0,46,41,125
2021-01-13,1859.0,34,32,101
2021-01-14,3184.0,48,43,193
2021-01-15,2071.0,42,33,119
2021-01-16,1407.0,23,21,71
2021-01-17,478.0,12,12,26
2021-01-18,1183.0,17,17,95
2021-01-19,2652.0,45,44,145
2021-01-20,6653.0,83,82,399
2021-01-21,4203.0,50,47,296
2021-01-22,5404.0,91,80,292
2021-01-23,2744.0,41,40,191
2021-01-24,2406.0,34,33,133
2021-01-25,3351.0,53,50,199
2021-01-26,1258.0,22,21,61
2021-01-27,457.0,12,12,51
2021-01-28,128.0,5,5,14
2021-01-29,188.0,6,6,35
2021-01-30,160.0,5,5,11
