item_category,unique_products,units_sold,total_revenue
Apparel,365,4613,144951.0
New,44,1819,22061.0
Bags,23,953,21238.0
Campus Collection,113,1852,16714.0
Accessories,40,1694,15284.0
Shop by Brand,26,1076,14734.0
Uncategorized Items,35,647,14637.0
Drinkware,11,949,13439.0
Lifestyle,14,673,11254.0
Clearance,72,800,10105.0
Office,16,1777,7419.0
,145,543,6473.0
Google,4,635,2919.0
Small Goods,4,177,1563.0
Stationery,8,599,1336.0
Writing Instruments,5,391,782.0
Notebooks & Journals,3,100,628.0
Electronics Accessories,1,45,456.0
Gift Cards,3,12,450.0
Fun,1,127,213.0
Black Lives Matter,1,1,58.0
