country,orders,revenue,buyers,revenue_contribution
United States,1939,136029.0,1619,44.35
India,405,28640.0,339,9.34
Canada,362,26135.0,298,8.52
United Kingdom,136,9756.0,118,3.18
Spain,106,6859.0,76,2.24
France,97,5791.0,84,1.89
Japan,69,5263.0,59,1.72
China,78,5129.0,55,1.67
Germany,71,4856.0,63,1.58
Italy,50,4409.0,43,1.44
Australia,44,3900.0,40,1.27
Turkey,55,3868.0,47,1.26
Netherlands,56,3717.0,49,1.21
Taiwan,69,3565.0,59,1.16
Brazil,48,3445.0,41,1.12
Singapore,53,3296.0,42,1.07
South Korea,40,3161.0,37,1.03
Poland,40,2884.0,34,0.94
Malaysia,28,2636.0,23,0.86
Mexico,46,2570.0,31,0.84
Thailand,26,2408.0,21,0.79
Colombia,40,2081.0,25,0.68
Russia,34,2074.0,31,0.68
Ireland,29,2070.0,27,0.67
Indonesia,26,1961.0,22,0.64
Hong Kong,32,1555.0,23,0.51
Greece,26,1542.0,15,0.5
Philippines,22,1429.0,21,0.47
Vietnam,21,1336.0,16,0.44
(not set),28,1285.0,24,0.42
Pakistan,17,1235.0,16,0.4
Sweden,19,1152.0,19,0.38
Portugal,16,1108.0,16,0.36
Ukraine,11,1096.0,10,0.36
Peru,21,1033.0,15,0.34
Finland,9,1021.0,8,0.33
Switzerland,18,996.0,15,0.32
Israel,18,992.0,16,0.32
Malta,3,793.0,2,0.26
Denmark,14,728.0,12,0.24
Austria,16,720.0,15,0.23
United Arab Emirates,11,693.0,10,0.23
Czechia,17,632.0,12,0.21
Nigeria,6,556.0,6,0.18
Saudi Arabia,6,552.0,6,0.18
Argentina,9,512.0,7,0.17
Chile,10,501.0,8,0.16
Slovenia,9,498.0,5,0.16
Egypt,8,464.0,8,0.15
Belgium,9,435.0,8,0.14
Romania,5,435.0,5,0.14
Sri Lanka,7,400.0,6,0.13
Slovakia,6,400.0,3,0.13
Morocco,5,395.0,4,0.13
Iraq,3,386.0,3,0.13
Dominican Republic,5,354.0,5,0.12
Puerto Rico,5,330.0,4,0.11
New Zealand,6,299.0,4,0.1
North Macedonia,3,293.0,3,0.1
Bangladesh,7,268.0,6,0.09
Kuwait,5,262.0,4,0.09
Bulgaria,5,259.0,5,0.08
Costa Rica,4,254.0,4,0.08
Uruguay,7,249.0,6,0.08
Kazakhstan,2,221.0,2,0.07
Tunisia,3,193.0,3,0.06
El Salvador,3,165.0,1,0.05
Palestine,2,163.0,2,0.05
Serbia,4,161.0,3,0.05
Georgia,7,144.0,2,0.05
Mongolia,2,134.0,2,0.04
Kenya,3,120.0,3,0.04
Hungary,3,118.0,2,0.04
Cyprus,2,102.0,2,0.03
Bolivia,1,92.0,1,0.03
Macao,2,91.0,2,0.03
Armenia,1,85.0,1,0.03
Algeria,2,84.0,2,0.03
Lithuania,3,83.0,2,0.03
Belarus,1,80.0,1,0.03
South Africa,2,77.0,2,0.03
Guatemala,2,68.0,2,0.02
Norway,1,61.0,1,0.02
Latvia,2,58.0,2,0.02
Croatia,2,50.0,2,0.02
Bosnia & Herzegovina,1,48.0,1,0.02
Panama,1,45.0,1,0.01
Cambodia,1,45.0,1,0.01
Jordan,2,42.0,1,0.01
Ecuador,2,39.0,2,0.01
Qatar,1,30.0,1,0.01
Albania,1,30.0,1,0.01
Paraguay,1,30.0,1,0.01
Bahamas,1,24.0,1,0.01
Lebanon,1,23.0,1,0.01
Kosovo,1,20.0,1,0.01
Honduras,1,14.0,1,0.0
Luxembourg,1,12.0,1,0.0
Venezuela,1,11.0,1,0.0
