item_id,item_name,total_revenue,row_number,rank,dense_rank
9195292,Google Canteen Bottle Black,4930.0,1,1,1
9195140,Google Utility BackPack,4752.0,2,2,2
9195130,Google Zip Hoodie F/C,4020.0,3,3,3
9194259,Google Campus Bike,3840.0,4,4,4
9197759,Google Incognito Techpack V2,3563.0,5,5,5
9199130,Super G Unisex Joggers,3072.0,6,6,6
9196652,Google Heathered Pom Beanie,2832.0,7,7,7
9195032,Google Camp Mug Ivory,2756.0,8,8,8
9184916,Google Crewneck Sweatshirt Navy,2618.0,9,9,9
9196606,Google Badge Heavyweight Pullover Black,2528.0,10,10,10
9184915,Google Crewneck Sweatshirt Navy,2508.0,11,11,11
9195841,Google Perk Thermal Tumbler,2496.0,12,12,12
9196717,Google Men's Tech Fleece Vest Charcoal,2459.0,13,13,13
9196765,Google Men's Tech Fleece Grey,2398.0,14,14,14
9199220,Google Land & Sea Cotton Cap,2253.0,15,15,15
9196605,Google Badge Heavyweight Pullover Black,2159.0,16,16,16
9190330,Google Crew Socks,2113.0,17,17,17
9184913,Google Crewneck Sweatshirt Navy,2112.0,18,18,18
9196653,Google Speckled Beanie Navy,2100.0,19,19,19
9188227,Google Flat Front Bag Grey,2076.0,20,20,20
9196759,Google Women's Puff Jacket Black,2047.0,21,21,21
9199131,Super G Unisex Joggers,1918.0,22,22,22
9195709,Google Leather Strap Hat Blue,1794.0,23,23,23
9195031,Google Thermal Tumbler Navy,1779.0,24,24,24
9195830,Google Glass Bottle,1773.0,25,25,25
9196753,Google Men's Puff Jacket Black,1771.0,26,26,26
9196849,Android Iconic Crewneck Sweatshirt,1760.0,27,27,27
9196637,Google Red Speckled Tee,1722.0,28,28,28
9180865,Google Metallic Notebook Set,1702.0,29,29,29
9195127,Google Zip Hoodie F/C,1692.0,30,30,30
9196727,Google Woodtop Bottle Black,1668.0,31,31,31
9195359,Noogler Android Figure,1656.0,32,32,32
9195131,Google Zip Hoodie F/C,1644.0,33,33,33
9195949,Google Crew Combed Cotton Sock,1632.0,34,34,34
9196615,Google Crewneck Sweatshirt Green,1628.0,35,35,35
9196767,Google Men's Tech Fleece Grey,1580.0,36,36,36
9196629,Google Navy Speckled Tee,1506.0,37,37,37
9196616,Google Crewneck Sweatshirt Green,1496.0,38,38,38
9196766,Google Men's Tech Fleece Grey,1492.0,39,39,39
9195971,Google Chrome Dinosaur Collectible,1488.0,40,40,40
9185158,Google Crewneck Sweatshirt Grey,1485.0,41,41,41
9196604,Google Badge Heavyweight Pullover Black,1476.0,42,42,42
9195964,Google Seaport Tote,1464.0,43,43,43
9196875,Google KeepCup,1442.0,44,44,44
9197718,Google Incognito Zip Pack,1418.0,45,45,45
9196676,Google Speckled Beanie Grey,1412.0,46,46,46
9199129,Super G Unisex Joggers,1409.0,47,47,47
9184914,Google Crewneck Sweatshirt Navy,1408.0,48,48,48
9195129,Google Zip Hoodie F/C,1404.0,49,49,49
9196275,Google Soft Modal Scarf,1386.0,50,50,50
9196764,Google Men's Tech Fleece Grey,1386.0,51,50,50
9200320,Google Black Cloud Zip Hoodie,1363.0,52,52,51
9188208,Google Packable Bag Black,1348.0,53,53,52
9200314,Google Camp Mug Gray,1340.0,54,54,53
9200321,Google Black Cloud Zip Hoodie,1336.0,55,55,54
9196755,Google Men's Puff Jacket Black,1334.0,56,56,55
9196850,Android Iconic Crewneck Sweatshirt,1320.0,57,57,56
9196636,Google Red Speckled Tee,1314.0,58,58,57
9196863,Google Hemp Tote,1236.0,59,59,58
9196664,Google Sherpa Zip Hoodie Charcoal,1225.0,60,60,59
9196758,Google Women's Puff Jacket Black,1219.0,61,61,60
9195959,Google Large Tote White,1185.0,62,62,61
9196966,Google NYC Campus Zip Hoodie,1179.0,63,63,62
9196614,Google Crewneck Sweatshirt Green,1177.0,64,64,63
9185002,Google Large Standard Journal Grey,1159.0,65,65,64
9196663,Google Sherpa Zip Hoodie Charcoal,1155.0,66,66,65
9197456,Google Super G Tumbler (Red Lid),1151.0,67,67,66
9196617,Google Crewneck Sweatshirt Green,1133.0,68,68,67
9188203,Google Clear Pen 4-Pack,1125.0,69,69,68
9196628,Google Navy Speckled Tee,1122.0,70,70,69
9188192,YouTube Twill Sandwich Cap Black,1113.0,71,71,70
9196848,Android Iconic Crewneck Sweatshirt,1111.0,72,72,71
9196661,Google Sherpa Zip Hoodie Charcoal,1101.0,73,73,72
9196738,Google Cork Base Tumbler,1098.0,74,74,73
9199224,Google Land & Sea Nalgene Water Bottle,1095.0,75,75,74
9196602,Google Badge Heavyweight Pullover Black,1083.0,76,76,75
9200710,Google Knit Blanket,1069.0,77,77,76
9195948,Google Crew Striped Athletic Sock,1067.0,78,78,77
9199127,Google Blue Stojo Cup,1045.0,79,79,78
9180819,Google Laptop and Cell Phone Stickers,1011.0,80,80,79
9196733,Google Cotopaxi Shell,1008.0,81,81,80
9195741,Google Dino Game Tee,968.0,82,82,81
9196862,Google Black Cork Journal,961.0,83,83,82
