item_id,item_name,total_revenue,revenue_contribution_pct
9195292,Google Canteen Bottle Black,4930.0,1.61
9195140,Google Utility BackPack,4752.0,1.55
9195130,Google Zip Hoodie F/C,4020.0,1.31
9194259,Google Campus Bike,3840.0,1.25
9197759,Google Incognito Techpack V2,3563.0,1.16
9199130,Super G Unisex Joggers,3072.0,1.0
9196652,Google Heathered Pom Beanie,2832.0,0.92
9195032,Google Camp Mug Ivory,2756.0,0.9
9184916,Google Crewneck Sweatshirt Navy,2618.0,0.85
9196606,Google Badge Heavyweight Pullover Black,2528.0,0.82
9184915,Google Crewneck Sweatshirt Navy,2508.0,0.82
9195841,Google Perk Thermal Tumbler,2496.0,0.81
9196717,Google Men's Tech Fleece Vest Charcoal,2459.0,0.8
9196765,Google Men's Tech Fleece Grey,2398.0,0.78
9199220,Google Land & Sea Cotton Cap,2253.0,0.73
9196605,Google Badge Heavyweight Pullover Black,2159.0,0.7
9190330,Google Crew Socks,2113.0,0.69
9184913,Google Crewneck Sweatshirt Navy,2112.0,0.69
9196653,Google Speckled Beanie Navy,2100.0,0.68
9188227,Google Flat Front Bag Grey,2076.0,0.68
9196759,Google Women's Puff Jacket Black,2047.0,0.67
9199131,Super G Unisex Joggers,1918.0,0.63
9195709,Google Leather Strap Hat Blue,1794.0,0.58
9195031,Google Thermal Tumbler Navy,1779.0,0.58
9195830,Google Glass Bottle,1773.0,0.58
9196753,Google Men's Puff Jacket Black,1771.0,0.58
9196849,Android Iconic Crewneck Sweatshirt,1760.0,0.57
9196637,Google Red Speckled Tee,1722.0,0.56
9180865,Google Metallic Notebook Set,1702.0,0.55
9195127,Google Zip Hoodie F/C,1692.0,0.55
9196727,Google Woodtop Bottle Black,1668.0,0.54
9195359,Noogler Android Figure,1656.0,0.54
9195131,Google Zip Hoodie F/C,1644.0,0.54
9195949,Google Crew Combed Cotton Sock,1632.0,0.53
9196615,Google Crewneck Sweatshirt Green,1628.0,0.53
9196767,Google Men's Tech Fleece Grey,1580.0,0.52
9196629,Google Navy Speckled Tee,1506.0,0.49
9196616,Google Crewneck Sweatshirt Green,1496.0,0.49
9196766,Google Men's Tech Fleece Grey,1492.0,0.49
9195971,Google Chrome Dinosaur Collectible,1488.0,0.49
9185158,Google Crewneck Sweatshirt Grey,1485.0,0.48
9196604,Google Badge Heavyweight Pullover Black,1476.0,0.48
9195964,Google Seaport Tote,1464.0,0.48
9196875,Google KeepCup,1442.0,0.47
9197718,Google Incognito Zip Pack,1418.0,0.46
9196676,Google Speckled Beanie Grey,1412.0,0.46
9199129,Super G Unisex Joggers,1409.0,0.46
9184914,Google Crewneck Sweatshirt Navy,1408.0,0.46
9195129,Google Zip Hoodie F/C,1404.0,0.46
9196275,Google Soft Modal Scarf,1386.0,0.45
9196764,Google Men's Tech Fleece Grey,1386.0,0.45
9200320,Google Black Cloud Zip Hoodie,1363.0,0.44
9188208,Google Packable Bag Black,1348.0,0.44
9200314,Google Camp Mug Gray,1340.0,0.44
9200321,Google Black Cloud Zip Hoodie,1336.0,0.44
9196755,Google Men's Puff Jacket Black,1334.0,0.43
9196850,Android Iconic Crewneck Sweatshirt,1320.0,0.43
9196636,Google Red Speckled Tee,1314.0,0.43
9196863,Google Hemp Tote,1236.0,0.4
9196664,Google Sherpa Zip Hoodie Charcoal,1225.0,0.4
9196758,Google Women's Puff Jacket Black,1219.0,0.4
9195959,Google Large Tote White,1185.0,0.39
9196966,Google NYC Campus Zip Hoodie,1179.0,0.38
9196614,Google Crewneck Sweatshirt Green,1177.0,0.38
9185002,Google Large Standard Journal Grey,1159.0,0.38
9196663,Google Sherpa Zip Hoodie Charcoal,1155.0,0.38
9197456,Google Super G Tumbler (Red Lid),1151.0,0.38
9196617,Google Crewneck Sweatshirt Green,1133.0,0.37
9188203,Google Clear Pen 4-Pack,1125.0,0.37
9196628,Google Navy Speckled Tee,1122.0,0.37
9188192,YouTube Twill Sandwich Cap Black,1113.0,0.36
9196848,Android Iconic Crewneck Sweatshirt,1111.0,0.36
9196661,Google Sherpa Zip Hoodie Charcoal,1101.0,0.36
9196738,Google Cork Base Tumbler,1098.0,0.36
9199224,Google Land & Sea Nalgene Water Bottle,1095.0,0.36
9196602,Google Badge Heavyweight Pullover Black,1083.0,0.35
9200710,Google Knit Blanket,1069.0,0.35
9195948,Google Crew Striped Athletic Sock,1067.0,0.35
9199127,Google Blue Stojo Cup,1045.0,0.34
9180819,Google Laptop and Cell Phone Stickers,1011.0,0.33
9196733,Google Cotopaxi Shell,1008.0,0.33
9195741,Google Dino Game Tee,968.0,0.32
9196862,Google Black Cork Journal,961.0,0.31
9200199,Google Bear Baby Blanket Beige,951.0,0.31
9196648,Google Sherpa Zip Hoodie Navy,950.0,0.31
9196742,Google Men's Softshell Moss,949.0,0.31
9196613,Google Crewneck Sweatshirt Green,935.0,0.3
9197720,Google Incognito Dopp Kit V2,927.0,0.3
9184917,Google Crewneck Sweatshirt Navy,924.0,0.3
9188229,Google 24oz Ring Bottle Blue,919.0,0.3
9196967,Google NYC Campus Zip Hoodie,917.0,0.3
9185150,Google Women's Microfleece Jacket Black,915.0,0.3
9195792,YouTube Icon Tee Charcoal,911.0,0.3
9195197,Google F/C Longsleeve Charcoal,906.0,0.3
9196869,Google Utensil Set,891.0,0.29
9195712,YouTube Leather Strap Hat Black,885.0,0.29
9196719,Google Men's Tech Fleece Vest Charcoal,883.0,0.29
9195742,Google Dino Game Tee,880.0,0.29
9196647,Google Sherpa Zip Hoodie Navy,880.0,0.29
9194988,Google Women's Grid Zip-Up,878.0,0.29
9195961,Google Campus Bike Mini Backpack,872.0,0.28
9196950,Google NYC Campus Mug,853.0,0.28
9196754,Google Men's Puff Jacket Black,851.0,0.28
9199125,Google Land & Sea Mug,851.0,0.28
9195198,Google F/C Longsleeve Charcoal,846.0,0.28
9197719,Google Incognito Laptop Organizer,831.0,0.27
9199084,Google Land & Sea Journal Set,816.0,0.27
9197004,Google Austin Campus Mug,805.0,0.26
9195203,Google F/C Longsleeve Ash,798.0,0.26
9188221,Google Utility Bag Grey,794.0,0.26
9196655,Google Raincoat Navy,792.0,0.26
9184981,Google Small Standard Journal Navy,791.0,0.26
9195831,Google Campus Bike Bottle,788.0,0.26
9196649,Google Sherpa Zip Hoodie Navy,784.0,0.26
9195840,YouTube Play Mug,782.0,0.25
9196734,Google Cotopaxi Shell,780.0,0.25
9195835,Google Campus Bike Corkbase Mug Blue,778.0,0.25
9194989,Google Women's Grid Zip-Up,776.0,0.25
9200322,Google Black Cloud Zip Hoodie,771.0,0.25
9195132,Google Zip Hoodie F/C,768.0,0.25
9190334,YouTube Crew Socks,766.0,0.25
9195250,Google Toddler FC Zip Hoodie,756.0,0.25
9195204,Google F/C Longsleeve Ash,750.0,0.24
9195248,Google Toddler FC Zip Hoodie,749.0,0.24
9196638,Google Red Speckled Tee,738.0,0.24
9195939,Google Campus Bike Grid Task Pad,738.0,0.24
9199132,Super G Unisex Joggers,733.0,0.24
9196706,Google Cup Cap Tumbler Grey,732.0,0.24
9197586,Google Seattle Campus Mug,730.0,0.24
9196662,Google Sherpa Zip Hoodie Charcoal,729.0,0.24
9195196,Google F/C Longsleeve Charcoal,708.0,0.23
9185159,Google Crewneck Sweatshirt Grey,693.0,0.23
9195202,Google F/C Longsleeve Ash,690.0,0.22
9195267,Google Incognito Messenger Bag,690.0,0.22
9196618,Google Crewneck Sweatshirt Green,682.0,0.22
9195249,Google Toddler FC Zip Hoodie,679.0,0.22
9196384,Google Mural Mug,675.0,0.22
9198448,Daddy Works at Google Book,672.0,0.22
9199082,Google Land & Sea Tote Bag,664.0,0.22
9196716,Google Men's Tech Fleece Vest Charcoal,662.0,0.22
9194987,Google Women's Grid Zip-Up,652.0,0.21
9188315,Google Magnet,646.0,0.21
9196768,Google Men's Tech Fleece Grey,639.0,0.21
9195945,Google Campus Bike Tote Navy,635.0,0.21
9196380,Google Mural Sticky Note Pad,631.0,0.21
9196866,Google ApPeel Journal Red,618.0,0.2
9196788,Google Mural Socks,618.0,0.2
9195206,Google F/C Longsleeve Ash,606.0,0.2
9196902,#IamRemarkable Journal,603.0,0.2
9196752,Google Men's Puff Jacket Black,598.0,0.19
9200364,White Google Shoreline Bottle,596.0,0.19
9196630,Google Navy Speckled Tee,594.0,0.19
9185155,Google Crewneck Sweatshirt Grey,583.0,0.19
9195912,Womens Google Striped LS,581.0,0.19
9196741,Google Men's Softshell Moss,573.0,0.19
9195295,Android Techie 3D Framed Art,572.0,0.19
9196785,Google Keychain,569.0,0.19
9196718,Google Men's Tech Fleece Vest Charcoal,568.0,0.19
9200319,Google Black Cloud Zip Hoodie,564.0,0.18
9197569,Google PNW Campus Mug,562.0,0.18
9195126,Google Zip Hoodie F/C,552.0,0.18
9196621,Google Heather Green Speckled Tee,551.0,0.18
9196665,Google Sherpa Zip Hoodie Charcoal,550.0,0.18
9185157,Google Crewneck Sweatshirt Grey,539.0,0.18
9196383,Google Mural Bottle,529.0,0.17
9196657,Google Raincoat Navy,528.0,0.17
9195928,Google Premium Sunglasses,522.0,0.17
