item_id,item_name,units_sold,total_revenue,total_orders
9180819,Google Laptop and Cell Phone Stickers,379,1011.0,127
9188203,Google Clear Pen 4-Pack,367,1125.0,126
9180865,Google Metallic Notebook Set,334,1702.0,120
9188201,Google Pen White,298,450.0,98
9195032,Google Camp Mug Ivory,259,2756.0,189
9195292,Google Canteen Bottle Black,250,4930.0,130
9196652,Google Heathered Pom Beanie,230,2832.0,170
9197939,Google Decal,227,153.0,48
9180818,Keyboard DOT Sticker,210,355.0,59
9180842,Maze Pen,208,180.0,44
