user_pseudo_id,total_orders,lifetime_revenue,average_order_value
81036435.1157569602,1,1530.0,139.09
15046526.4562004600,3,1423.0,129.36
8083450.3844124226,10,1404.0,61.04
60695124.4742262801,5,1260.0,126.0
7134559299.4601048201,1,1200.0,100.0
12306432.7939489449,1,1170.0,234.0
5645225.6917653454,5,1120.0,44.8
78221431.2724111930,2,1047.0,69.8
41474740.1017155695,1,904.0,64.57
2566418.5535518831,1,863.0,107.88
99387700.1672480666,2,817.0,58.36
39388951.3688006674,1,806.0,100.75
2278219.0388083386,1,780.0,26.0
3833171.6184728360,2,771.0,38.55
71706603.2631255790,7,768.0,12.8
1621120.1060958458,2,758.0,108.29
4484520.5210961028,13,752.0,19.79
63177378.7681474242,4,740.0,30.83
1033085.6917088117,1,712.0,101.71
7019543.7153257093,1,708.0,59.0
